,brand,title,sold_price,actual_price,url,img
0,Desh Bidesh,Woven Handloom Handloom Pure Cotton Saree Green,₹499,"₹3,299",https://www.flipkart.com/desh-bidesh-woven-handloom-pure-cotton-saree/p/itm239f79aa997bc?pid=SARGQFEGMAPEFYKY&lid=LSTSARGQFEGMAPEFYKYHPGOSX&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_1&otracker=browse&fm=organic&iid=en_5FwxbpmXFa6lxaKn0NPOCjID7o-C90ek96ooSiWf3MIz2aaZkKoIVhjBbfTdVrw8pPm0wnABYufo3TQrpuTXzA%3D%3D&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/v/3/q/free-dbabhiroyal080623-desh-bidesh-no-blouse-original-imagqfeg8hpahzfb.jpeg?q=70
1,JRM,"Woven Gadwal Cotton Silk, Jacquard Saree Multicolor",₹515,₹799,https://www.flipkart.com/jrm-woven-gadwal-cotton-silk-jacquard-saree/p/itm1a978b8c02eb0?pid=SARGSFDNS9Z4DGFG&lid=LSTSARGSFDNS9Z4DGFG9TNECV&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_2&otracker=browse&fm=organic&iid=en_5FwxbpmXFa6lxaKn0NPOCjID7o-C90ek96ooSiWf3MIBj7EhxuyeImgIr1Zuh6iLUdKpj0Q_L04yil5h2C2EOQ%3D%3D&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/x/e/i/free-2581-jrm-unstitched-original-imagsfdngvkscedx.jpeg?q=70
2,Blue Wish,Printed Bollywood Cotton Silk Saree Light Blue,₹262,"₹2,000",https://www.flipkart.com/blue-wish-printed-bollywood-cotton-silk-saree/p/itma538b9be431ce?pid=SARG5B7A6PVSWGAX&lid=LSTSARG5B7A6PVSWGAXEVD67N&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=b_1_3&otracker=browse&fm=organic&iid=0fb8e29c-9bd3-4b05-9069-711bafdda9b7.SARG5B7A6PVSWGAX.SEARCH&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/x/k/w/free-lycra-blue-wish-unstitched-original-imagmhtsqgjuvhut.jpeg?q=70
3,Siril,"Floral Print, Geometric Print, Printed Daily Wear Georg... Brown, Multicolor",₹269,"₹1,478",https://www.flipkart.com/siril-floral-print-geometric-printed-daily-wear-georgette-saree/p/itm58eb137b2bcb4?pid=SARGQURZUJ27QMKH&lid=LSTSARGQURZUJ27QMKH1DBX3P&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_4&otracker=browse&fm=organic&iid=0fb8e29c-9bd3-4b05-9069-711bafdda9b7.SARGQURZUJ27QMKH.SEARCH&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/c/l/9/free-3112s2156j-siril-unstitched-original-imagqurzzpgwejuf.jpeg?q=70
4,Abhilipsa,Embroidered Bollywood Chiffon Saree Multicolor,₹244,₹999,https://www.flipkart.com/abhilipsa-embroidered-bollywood-chiffon-saree/p/itm9345747ebc666?pid=SARGK7JEJT7MQNQM&lid=LSTSARGK7JEJT7MQNQMLS7HNK&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_5&otracker=browse&fm=organic&iid=0fb8e29c-9bd3-4b05-9069-711bafdda9b7.SARGK7JEJT7MQNQM.SEARCH&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/1/q/l/free-w-moti-black-sarees-green-sarees-party-wear-sarees-original-imagjnmhjgkzchbu.jpeg?q=70
5,Abhilipsa,Embroidered Bollywood Chiffon Saree Purple,₹265,₹999,https://www.flipkart.com/abhilipsa-embroidered-bollywood-chiffon-saree/p/itm7f15944faef07?pid=SARGK7JE7RZURSMU&lid=LSTSARGK7JE7RZURSMUAUNV1P&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_6&otracker=browse&fm=organic&iid=0fb8e29c-9bd3-4b05-9069-711bafdda9b7.SARGK7JE7RZURSMU.SEARCH&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/h/v/b/free-w-moti-black-sarees-green-sarees-party-wear-sarees-original-imagjnmhgbdbf59e.jpeg?q=70
6,ksevencreation,Floral Print Bollywood Lycra Blend Saree Maroon,₹264,"₹2,398",https://www.flipkart.com/ksevencreation-floral-print-bollywood-lycra-blend-saree/p/itm427a9823048c1?pid=SARFWSMFBMJJ66X8&lid=LSTSARFWSMFBMJJ66X8GC52N2&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=b_1_7&otracker=browse&fm=organic&iid=0fb8e29c-9bd3-4b05-9069-711bafdda9b7.SARFWSMFBMJJ66X8.SEARCH&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/o/y/c/free-hitesh2series-fumvel-unstitched-original-imafwypg4fwky3a7-bb.jpeg?q=70
7,JRM,"Woven Gadwal Cotton Silk, Jacquard Saree Multicolor",₹515,₹799,https://www.flipkart.com/jrm-woven-gadwal-cotton-silk-jacquard-saree/p/itm234a4e8bdb112?pid=SARGSFDNWDNVUS2P&lid=LSTSARGSFDNWDNVUS2PDVDKNV&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_8&otracker=browse&fm=organic&iid=en_5FwxbpmXFa6lxaKn0NPOCjID7o-C90ek96ooSiWf3MLEAjlg8zYPs-dnzsZty1vFD4czglLwzwuO1dpabrMeOQ%3D%3D&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-sari/s/r/x/free-2454-indshopmart-unstitched-original-imagr85vfxhq4rkf.jpeg?q=70
8,PATLANI STYLE,Embroidered Bollywood Net Saree Brown,₹399,"₹2,999",https://www.flipkart.com/patlani-style-embroidered-bollywood-net-saree/p/itm6434b4d1d0d2f?pid=SARFSA6VJW8YBV9Y&lid=LSTSARFSA6VJW8YBV9YAEJJDU&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_9&otracker=browse&fm=organic&iid=0fb8e29c-9bd3-4b05-9069-711bafdda9b7.SARFSA6VJW8YBV9Y.SEARCH&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/i/t/a/free-n-gulzar-coffe-patlani-style-unstitched-original-imag6zf2js6xdp2a.jpeg?q=70
9,LOROFY,Self Design Bollywood Net Saree Red,₹287,"₹1,599",https://www.flipkart.com/lorofy-self-design-bollywood-net-saree/p/itmc052ee4daa3aa?pid=SARG4U8MHBMMZFBB&lid=LSTSARG4U8MHBMMZFBBEKEHFQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=b_1_10&otracker=browse&fm=organic&iid=0fb8e29c-9bd3-4b05-9069-711bafdda9b7.SARG4U8MHBMMZFBB.SEARCH&ppt=None&ppn=None&ssid=ibmiccb6280000001692188599815,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/b/b/w/free-braso2-o-combo-lorofy-unstitched-original-imagkymbfmjbfeqj.jpeg?q=70
